shipment_id,origin_country,destination_country,transport_mode,product_type,ship_date,delivery_date,weight_kg,cost_usd,delay_days,status
5000,España,México,Aéreo,Químicos,2025-01-09,2025-01-23,10228.73,5607.78,7,Retrasado
5001,México,Chile,Terrestre,Textil,2025-11-11,2025-12-02,14441.82,11994.98,11,Retrasado
5002,España,Chile,Aéreo,Electrónica,2025-10-12,2025-10-30,5424.14,12005.12,0,A tiempo
5003,Brasil,México,Marítimo,Maquinaria,2025-12-03,2026-01-11,12364.34,7657.42,0,A tiempo
5004,Alemania,Perú,Marítimo,Textil,2025-04-16,2025-05-20,15196.14,26478.24,0,A tiempo
5005,Brasil,Perú,Terrestre,Alimentos,2025-07-06,2025-07-19,6408.09,9699.78,2,A tiempo
5006,España,Ecuador,Aéreo,Textil,2025-09-23,2025-10-07,3235.57,4753.68,2,A tiempo
5007,USA,Chile,Terrestre,Maquinaria,2025-08-17,2025-09-08,16041.85,14524.96,0,A tiempo
5008,Colombia,Perú,Terrestre,Maquinaria,2025-01-05,2025-01-10,4002.79,8662.82,2,A tiempo
5009,Brasil,Colombia,Marítimo,Químicos,2025-07-06,2025-08-02,780.99,827.54,0,A tiempo
5010,Colombia,Colombia,Marítimo,Químicos,2025-12-25,2026-01-18,3068.03,4129.86,0,A tiempo
5011,USA,Chile,Marítimo,Electrónica,2025-03-26,2025-04-28,14732.13,9534.08,0,A tiempo
5012,España,Colombia,Terrestre,Electrónica,2025-06-16,2025-06-29,3028.65,5940.38,0,A tiempo
5013,USA,Ecuador,Aéreo,Textil,2025-10-22,2025-11-28,13346.8,13846.67,9,Retrasado
5014,China,Colombia,Terrestre,Electrónica,2025-04-08,2025-05-15,16778.35,27261.13,1,A tiempo
5015,USA,Ecuador,Marítimo,Químicos,2025-05-29,2025-06-19,8922.01,5841.36,0,A tiempo
5016,España,México,Marítimo,Electrónica,2025-09-10,2025-10-18,1497.19,1361.0,2,A tiempo
5017,Perú,Colombia,Aéreo,Electrónica,2025-06-14,2025-06-30,12206.71,15766.48,12,Retrasado
5018,USA,Colombia,Aéreo,Químicos,2025-12-15,2025-12-16,10379.77,9322.65,0,A tiempo
5019,China,Perú,Marítimo,Electrónica,2025-11-07,2025-12-13,12883.11,26541.81,0,A tiempo
5020,España,México,Terrestre,Alimentos,2025-04-16,2025-05-14,19472.65,29929.07,0,A tiempo
5021,China,Chile,Terrestre,Químicos,2025-01-01,2025-01-10,19998.07,28843.61,7,Retrasado
5022,Perú,Chile,Aéreo,Alimentos,2025-07-15,2025-07-31,16577.7,35498.22,0,A tiempo
5023,USA,Ecuador,Marítimo,Químicos,2025-11-08,2025-12-14,11719.9,20914.21,1,A tiempo
5024,Colombia,Colombia,Aéreo,Alimentos,2025-11-28,2025-12-30,11096.49,18323.41,3,A tiempo
5025,España,Colombia,Marítimo,Textil,2025-02-14,2025-02-28,8815.99,14938.65,0,A tiempo
5026,México,Colombia,Terrestre,Químicos,2025-11-22,2025-12-14,11023.98,18217.52,5,Retrasado
5027,Alemania,Perú,Terrestre,Electrónica,2025-07-01,2025-07-17,16075.33,14908.74,10,Retrasado
5028,China,Chile,Terrestre,Maquinaria,2025-12-24,2026-01-02,17615.97,19969.27,5,Retrasado
5029,China,Colombia,Aéreo,Alimentos,2025-10-20,2025-11-22,4206.15,4788.43,0,A tiempo
5030,Alemania,México,Terrestre,Químicos,2025-03-02,2025-03-15,8257.71,18204.53,5,Retrasado
5031,USA,Chile,Aéreo,Alimentos,2025-07-12,2025-08-14,16195.18,15360.2,4,Retrasado
5032,Perú,México,Terrestre,Textil,2025-11-18,2025-12-13,8620.64,7294.08,4,Retrasado
